##### Tuesday, July 28, 2020 #####
[1] 2:13:20 PM, Name : Albert, Confidence : 99%, EigenDistance : 19.6610254543048, Message Status : Disabled, 333 ms
[2] 2:13:39 PM, Name : Septian, Confidence : 80%, EigenDistance : 1573.46831804987, Message Status : Disabled, 2 ms
[3] 2:13:44 PM, Name : Albert, Confidence : 78%, EigenDistance : 1720.07189866029, Message Status : Disabled, 7 ms
##### Tuesday, July 28, 2020 #####
[1] 2:14:22 PM, Name : Albert, Confidence : 97%, EigenDistance : 181.958737945861, Message Status : Disabled, 546 ms
[2] 2:14:49 PM, Name : Siwan, Confidence : 99%, EigenDistance : 2.1854578050917, Message Status : Disabled, 29 ms
[3] 2:15:18 PM, Name : David, Confidence : 99%, EigenDistance : 0.981466198174107, Message Status : Disabled, 38 ms
[4] 2:15:54 PM, Name : Maria, Confidence : 99%, EigenDistance : 1.58231386572372, Message Status : Disabled, 46 ms
##### Tuesday, July 28, 2020 #####
[1] 2:16:21 PM, Name : Albert, Confidence : 81%, EigenDistance : 1502.50753214727, Message Status : Success, 1308 ms
[2] 2:16:26 PM, Name : Maria, Confidence : 87%, EigenDistance : 987.911828553919, Message Status : Success, 628 ms
[3] 2:16:32 PM, Name : Siwan, Confidence : 75%, EigenDistance : 1973.82532312647, Message Status : Success, 128 ms
[4] 2:16:37 PM, Name : David, Confidence : 78%, EigenDistance : 1705.92839967607, Message Status : Success, 62 ms
[5] 2:16:45 PM, Name : Albert, Confidence : 79%, EigenDistance : 1613.93388077054, Message Status : Success, 58 ms
[6] 2:16:50 PM, Name : David, Confidence : 84%, EigenDistance : 1205.32779036172, Message Status : Success, 31 ms
[7] 2:16:58 PM, Name : Maria, Confidence : 86%, EigenDistance : 1089.64847388255, Message Status : Success, 34 ms
[8] 2:17:05 PM, Name : Septian, Confidence : 85%, EigenDistance : 1155.37026581427, Message Status : Disabled, 1 ms
[9] 2:17:14 PM, Name : Siwan, Confidence : 76%, EigenDistance : 1864.99392440901, Message Status : Success, 53 ms
[10] 2:17:22 PM, Name : Albert, Confidence : 76%, EigenDistance : 1841.71082979884, Message Status : Success, 10 ms
[11] 2:17:27 PM, Name : David, Confidence : 75%, EigenDistance : 1941.97796940955, Message Status : Success, 62 ms
[12] 2:17:33 PM, Name : Maria, Confidence : 82%, EigenDistance : 1376.16611904878, Message Status : Success, 4 ms
[13] 2:17:42 PM, Name : Siwan, Confidence : 77%, EigenDistance : 1825.04581716891, Message Status : Success, 451 ms
[14] 2:17:49 PM, Name : Septian, Confidence : 79%, EigenDistance : 1671.33098191565, Message Status : Disabled, 1 ms
